elevation_deg,v_rel_kmps,modulation,n_nodes,PER_pct,RSSI_dBm,SNR_dB,distance_km,kappa,doppler_hz,visibility_window_s,toa_s,max_packets_in_window,n_mc_draws,source
5,0.0,SF7,1000,85.2,-128.6834,-11.6753,2740.65,1.24,0.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,0.0,SF7,10000,90.2,-128.9242,-11.9161,2740.65,1.24,0.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,0.0,SF7,50000,97.0,-129.0674,-12.0593,2740.65,1.24,0.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,0.0,SF7,100000,99.6,-128.745,-11.7368,2740.65,1.24,0.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,0.0,SF7,150000,100.0,-128.8879,-11.8798,2740.65,1.24,0.0,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,0.0,SF8,1000,63.6,-128.808,-11.7999,2740.65,1.24,0.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,0.0,SF8,10000,72.3,-128.6079,-11.5998,2740.65,1.24,0.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,0.0,SF8,50000,96.6,-128.8323,-11.8242,2740.65,1.24,0.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,0.0,SF8,100000,99.8,-128.6211,-11.613,2740.65,1.24,0.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,0.0,SF8,150000,100.0,-128.5961,-11.588,2740.65,1.24,0.0,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,0.0,SF9,1000,42.3,-128.7908,-11.7827,2740.65,1.24,0.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,0.0,SF9,10000,77.5,-128.8426,-11.8345,2740.65,1.24,0.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,0.0,SF9,50000,99.6,-128.9849,-11.9768,2740.65,1.24,0.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,0.0,SF9,100000,100.0,-128.8947,-11.8866,2740.65,1.24,0.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,0.0,SF9,150000,100.0,-128.8016,-11.7935,2740.65,1.24,0.0,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,0.0,SF10,1000,38.8,-129.2155,-12.2074,2740.65,1.24,0.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,0.0,SF10,10000,92.2,-129.1725,-12.1644,2740.65,1.24,0.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,0.0,SF10,50000,100.0,-128.874,-11.8659,2740.65,1.24,0.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,0.0,SF10,100000,100.0,-128.79,-11.7819,2740.65,1.24,0.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,0.0,SF10,150000,100.0,-128.865,-11.8569,2740.65,1.24,0.0,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,0.0,SF11,1000,41.3,-128.7354,-11.7272,2740.65,1.24,0.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,0.0,SF11,10000,98.1,-128.8629,-11.8548,2740.65,1.24,0.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,0.0,SF11,50000,100.0,-128.6532,-11.6451,2740.65,1.24,0.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,0.0,SF11,100000,100.0,-128.701,-11.6928,2740.65,1.24,0.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,0.0,SF11,150000,100.0,-128.6013,-11.5932,2740.65,1.24,0.0,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,0.0,SF12,1000,56.8,-128.9248,-11.9167,2740.65,1.24,0.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,0.0,SF12,10000,100.0,-128.8485,-11.8404,2740.65,1.24,0.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,0.0,SF12,50000,100.0,-128.942,-11.9339,2740.65,1.24,0.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,0.0,SF12,100000,100.0,-128.8292,-11.8211,2740.65,1.24,0.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,0.0,SF12,150000,100.0,-128.8092,-11.8011,2740.65,1.24,0.0,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,0.0,DR8,1000,0.0001,-128.946,12.147,2740.65,1.24,0.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,0.0,DR8,10000,0.1916,-128.8996,12.1934,2740.65,1.24,0.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,0.0,DR8,50000,13.9463,-129.0189,12.0741,2740.65,1.24,0.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,0.0,DR8,100000,53.3983,-128.8648,12.2282,2740.65,1.24,0.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,0.0,DR8,150000,82.7428,-128.7892,12.3038,2740.65,1.24,0.0,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,0.0,DR9,1000,0.1024,-129.0769,12.0161,2740.65,1.24,0.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,0.0,DR9,10000,1.1235,-128.8684,12.2246,2740.65,1.24,0.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,0.0,DR9,50000,21.4406,-128.827,12.266,2740.65,1.24,0.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,0.0,DR9,100000,53.5892,-129.0124,12.0806,2740.65,1.24,0.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,0.0,DR9,150000,76.0754,-128.933,12.16,2740.65,1.24,0.0,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,2.0,SF7,1000,83.3,-128.9556,-11.9475,2740.65,1.24,5786.67,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,2.0,SF7,10000,89.1,-129.0146,-12.0065,2740.65,1.24,5786.67,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,2.0,SF7,50000,96.3,-128.9639,-11.9558,2740.65,1.24,5786.67,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,2.0,SF7,100000,99.6,-129.0379,-12.0298,2740.65,1.24,5786.67,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,2.0,SF7,150000,100.0,-128.8764,-11.8683,2740.65,1.24,5786.67,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,2.0,SF8,1000,60.2,-128.7081,-11.7,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF8,10000,74.8,-128.6736,-11.6655,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF8,50000,96.6,-129.0075,-11.9994,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF8,100000,99.7,-128.9763,-11.9681,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF8,150000,100.0,-128.7918,-11.7837,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,1000,44.0,-128.9792,-11.9711,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,10000,79.1,-128.8587,-11.8505,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,50000,99.6,-128.7989,-11.7907,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,100000,100.0,-128.8354,-11.8273,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,150000,100.0,-128.7398,-11.7317,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,1000,36.0,-128.9651,-11.957,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,10000,92.0,-128.837,-11.8289,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,50000,100.0,-128.786,-11.7779,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,100000,100.0,-129.1114,-12.1032,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,150000,100.0,-128.8922,-11.884,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,1000,43.2,-129.1319,-12.1238,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,10000,98.5,-128.8097,-11.8015,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,50000,100.0,-128.6817,-11.6736,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,100000,100.0,-128.8996,-11.8915,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,150000,100.0,-128.9795,-11.9714,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
